Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score,Income
Good,High,2.58,Unemployed,66,4.12,27059.78
Moderate,Low,3.16,Employed,27,7.08,10460.48
Poor,Low,1.54,Unemployed,45,5.27,60522.45
Good,High,0.92,Unemployed,38,6.67,61904.13
Poor,Moderate,2.18,Unemployed,67,4.4,67895.58
Poor,Low,2.27,Unemployed,24,4.47,47764.41
Moderate,High,0.38,Employed,20,7.99,45170.11
Good,Moderate,2.38,Unemployed,62,5.87,42384.15
Moderate,Low,3.07,Employed,64,3.57,43751.64
Moderate,Moderate,1.09,Unemployed,37,6.79,66796.86
Good,High,2.44,Employed,36,3.93,49602.27
Poor,Low,2.89,Employed,52,5.45,55671.06
Poor,Moderate,2.59,Employed,21,8.67,43369.9
Good,Low,2.68,Employed,22,2.14,69812.72
Poor,Moderate,1.76,Employed,18,4.65,21428.92
Good,High,0.87,Unemployed,21,5.82,31692.14
Good,High,1.55,Unemployed,29,6.53,55695.66
Moderate,Low,1.41,Unemployed,77,2.52,76259.16
Good,Moderate,1.92,Employed,44,1.93,46623.5
Moderate,Low,3.09,Unemployed,73,7.18,37364.44
Poor,Low,0.69,Employed,59,3.56,65009.94
Poor,Moderate,2.14,Employed,40,3.48,54855.48
Poor,Moderate,0.94,Unemployed,42,8.1,69353.21
Poor,Moderate,1.26,Unemployed,38,5.14,30644.73
Moderate,High,2.56,Employed,78,5.15,68175.03
Poor,Low,0.81,Employed,75,4.64,26773.14
Good,Low,2.73,Unemployed,69,2.55,45677.42
Good,High,0.65,Unemployed,41,6.35,56191.74
Good,Moderate,2.67,Unemployed,42,5.82,52790.2
Moderate,High,0.45,Unemployed,62,5.34,65908.89
Poor,High,1.38,Employed,72,4.77,22600.1
Poor,High,3.9,Unemployed,63,4.42,52115.11
Poor,Low,3.71,Unemployed,49,6.82,67994.63
Moderate,High,1.59,Unemployed,72,4.72,50889.41
Good,Low,2.39,Employed,49,4.87,32864.9
Good,Low,3.2,Employed,22,6.06,65112.61
Poor,Low,2.68,Employed,53,5.42,40275.35
Good,Moderate,1.73,Employed,63,8.28,37635.15
Good,Low,1.25,Unemployed,59,1.48,35747.96
Moderate,Low,2.87,Employed,66,5.6,47019.72
Moderate,Moderate,3.13,Unemployed,59,3.59,52745.9
Moderate,Low,3.72,Unemployed,75,3.12,30963.5
Moderate,High,0.31,Unemployed,56,4.09,34045.31
Poor,High,0.75,Unemployed,33,5.11,39582.76
Moderate,Low,3.16,Employed,50,5.2,35675.17
Good,Moderate,0.45,Employed,66,1.97,50551.37
Poor,High,3.24,Employed,38,3.92,55418.32
Good,Moderate,1.79,Unemployed,78,5.56,53358.11
Good,Moderate,1.48,Unemployed,26,3.25,53379.98
Good,High,2.21,Unemployed,23,2.77,75064.88
Moderate,Moderate,0.65,Unemployed,68,0.49,56355.25
Moderate,High,2.82,Unemployed,62,3.67,61759.46
Poor,Moderate,3.69,Employed,52,2.7,43780.76
Poor,High,2.87,Unemployed,56,3.03,64160.09
Moderate,Low,1.75,Employed,39,4.46,43064.71
Good,High,0.46,Unemployed,58,3.8,56171.72
Poor,High,0.5,Unemployed,71,2.67,29429.5
Moderate,High,0.67,Employed,22,0.77,52493.51
Moderate,High,1.99,Employed,59,5.6,35369.3
Moderate,Moderate,2.11,Unemployed,40,6.51,64040.53
Good,Low,2.87,Unemployed,34,4.21,63138.15
Moderate,High,0.2,Unemployed,29,4.47,43000.59
Moderate,Moderate,3.31,Unemployed,40,5.01,80743.62
Moderate,Low,2.69,Employed,33,8.16,45711.83
Moderate,Low,1.67,Unemployed,20,1.86,25819.72
Poor,Low,0.81,Employed,47,4.17,38313.23
Poor,Low,3.25,Unemployed,74,1.56,34337.88
Moderate,High,1.7,Employed,39,5.72,55694.03
Good,High,1.98,Employed,26,4.71,31469.55
Poor,Moderate,2.38,Unemployed,46,5.41,41911.79
Moderate,Moderate,1.09,Employed,64,5.31,54718.28
Poor,Moderate,1.72,Unemployed,54,6.98,52079.69
Poor,Low,2.87,Employed,40,6.08,49810.34
Good,Low,2.76,Unemployed,30,6.66,51890.01
Moderate,High,2.77,Employed,49,2.87,44442.5
Moderate,Low,0.84,Unemployed,63,7.39,25943.72
Good,Low,1.76,Unemployed,69,3.56,44047.43
Good,Low,1.6,Employed,64,3.67,57031.25
Moderate,Moderate,2.43,Employed,65,5.54,47945.98
Moderate,Moderate,2.34,Employed,40,5.6,55872.33
Good,High,2.16,Employed,62,2.86,41198.25
Poor,Low,4.47,Unemployed,34,4.65,64915.04
Poor,Low,1.71,Employed,72,7.98,11655.23
Good,High,1.59,Unemployed,57,2.06,52121.61
Poor,Low,0.84,Employed,38,7.97,70233.21
Good,Low,0.46,Unemployed,19,4.52,72465.48
Poor,Moderate,0.78,Unemployed,54,0.32,46522.61
Poor,High,1.28,Unemployed,23,2.27,30107.03
Moderate,High,3.31,Unemployed,61,3.07,70497.09
Moderate,High,2.04,Employed,35,3.75,49222.02
Poor,High,2.19,Employed,47,4.79,47615.46
Poor,Moderate,1.9,Unemployed,39,0.0,36607.18
Moderate,Moderate,2.37,Employed,71,5.37,31251.69
Moderate,Low,3.4,Employed,50,2.89,58457.95
Moderate,Low,0.01,Unemployed,47,7.78,60048.07
Good,Low,3.22,Employed,34,4.46,53023.16
Poor,Low,0.0,Employed,79,6.89,38539.31
Moderate,Moderate,2.03,Employed,60,7.22,34025.02
Poor,High,4.19,Unemployed,49,7.17,28516.27
Good,Moderate,2.68,Employed,59,3.87,41591.82
Good,Low,2.37,Unemployed,68,3.84,34912.2
Moderate,Moderate,4.0,Employed,31,4.55,24360.35
Good,High,1.3,Employed,75,6.27,59770.18
Poor,High,2.43,Employed,27,3.98,30214.04
Moderate,Moderate,2.58,Unemployed,64,4.76,64758.84
Poor,Moderate,1.48,Unemployed,77,5.55,55911.08
Poor,Moderate,1.57,Employed,68,3.19,54415.12
Good,Low,1.46,Unemployed,53,3.06,74979.64
Good,Moderate,2.09,Employed,51,4.68,30712.96
Good,Moderate,2.55,Unemployed,26,4.95,63106.58
Good,Moderate,2.12,Unemployed,59,5.87,45535.36
Good,High,2.71,Employed,45,6.34,88566.05
Moderate,High,0.03,Employed,28,2.8,44288.08
Poor,Low,1.78,Employed,31,3.38,41865.37
Poor,Low,0.98,Employed,56,3.06,56383.04
Poor,High,2.3,Unemployed,72,7.82,46866.37
Poor,High,2.29,Unemployed,64,4.76,38623.06
Good,High,1.88,Unemployed,71,5.03,35445.85
Poor,Moderate,2.51,Employed,36,5.12,71873.07
Moderate,Moderate,3.0,Employed,71,3.57,32548.08
Moderate,High,1.94,Unemployed,32,8.13,53346.31
Poor,Moderate,0.95,Employed,79,5.82,65842.76
Poor,Moderate,0.42,Unemployed,45,5.08,66567.42
Moderate,Low,2.04,Unemployed,41,2.79,40975.21
Moderate,High,2.24,Unemployed,25,2.68,46907.23
Good,High,1.03,Unemployed,60,4.38,43997.1
Moderate,Moderate,2.73,Unemployed,78,3.6,26974.72
Good,High,1.54,Employed,26,2.87,58062.76
Good,Low,0.34,Employed,64,4.26,50577.55
Good,Low,3.26,Employed,50,4.57,71608.78
Good,Low,3.14,Unemployed,79,5.28,37651.92
Good,High,0.0,Unemployed,50,3.99,66330.45
Poor,High,1.44,Unemployed,36,2.98,67388.51
Moderate,High,1.4,Unemployed,20,3.05,50706.08
Good,High,3.64,Employed,27,7.43,17437.08
Moderate,High,1.9,Employed,57,2.5,42311.49
Moderate,Low,0.5,Unemployed,64,5.73,76788.07
Good,Moderate,2.88,Unemployed,59,6.04,54455.84
Poor,Low,0.77,Unemployed,18,4.76,60401.0
Good,High,1.74,Employed,46,8.54,48662.5
Poor,Low,1.23,Employed,67,6.0,46648.36
Moderate,High,1.44,Employed,51,8.69,21989.83
Poor,High,2.94,Unemployed,68,3.7,61921.09
Poor,Low,3.52,Unemployed,30,3.73,66195.22
Poor,High,0.73,Employed,71,6.06,35737.07
Moderate,Moderate,2.63,Unemployed,18,4.48,47317.17
Moderate,High,1.27,Employed,51,8.37,45293.88
Poor,Moderate,1.3,Unemployed,46,5.68,56302.3
Poor,Moderate,2.49,Employed,65,2.91,41834.55
Good,High,0.97,Unemployed,64,1.53,63970.11
Poor,Low,2.47,Employed,30,4.84,51069.86
Good,Moderate,2.73,Employed,65,4.82,11758.65
Poor,Low,1.57,Employed,66,5.63,56640.8
Good,Moderate,3.33,Employed,70,7.42,64945.26
Moderate,High,0.73,Employed,78,7.16,32719.08
Poor,High,3.35,Employed,46,3.84,56130.9
Poor,Moderate,0.06,Unemployed,56,2.41,77449.4
Poor,High,4.7,Unemployed,41,2.53,51681.0
Poor,Moderate,1.59,Unemployed,43,3.53,67124.43
Good,High,0.84,Employed,34,4.27,43367.68
Poor,Low,1.77,Employed,24,5.61,49730.54
Moderate,High,0.95,Unemployed,30,3.4,46930.68
Moderate,Low,2.39,Employed,22,5.56,44193.19
Poor,High,3.37,Employed,43,5.72,47784.17
Moderate,Low,1.01,Employed,66,5.29,25539.77
Poor,High,2.58,Employed,20,2.74,45036.8
Poor,Low,0.47,Employed,24,5.94,70067.1
Moderate,Moderate,3.03,Unemployed,75,9.16,35544.65
Poor,Moderate,2.42,Unemployed,66,5.49,34008.0
Moderate,Low,3.08,Unemployed,56,0.0,50918.19
Good,High,1.88,Unemployed,70,7.48,51667.75
Poor,Low,1.56,Unemployed,18,3.59,55661.97
Good,High,2.82,Employed,66,9.53,48293.92
Moderate,Moderate,0.69,Employed,79,5.23,51077.96
Good,High,0.26,Employed,34,1.63,44736.73
Good,Moderate,2.0,Employed,60,0.87,30863.06
Moderate,High,1.61,Unemployed,42,8.08,48929.12
Good,High,2.55,Unemployed,76,7.21,60868.95
Good,High,3.09,Unemployed,78,9.45,57725.82
Moderate,Low,2.53,Employed,20,5.02,23836.37
Good,Low,3.01,Unemployed,32,4.89,53778.88
Moderate,Moderate,2.32,Employed,46,4.23,36608.46
Good,Moderate,2.49,Unemployed,70,3.68,70882.46
Moderate,Low,1.88,Unemployed,60,4.22,54894.05
Moderate,Moderate,2.47,Employed,49,5.43,63444.26
Good,Low,2.17,Employed,43,3.31,50317.52
Good,High,2.33,Unemployed,77,1.66,49009.18
Good,Moderate,1.83,Unemployed,33,5.32,72437.67
Poor,Moderate,2.81,Employed,42,3.27,64591.62
Poor,Low,1.29,Unemployed,71,0.0,51767.88
Poor,Moderate,1.98,Unemployed,45,6.11,47005.0
Moderate,Moderate,3.31,Employed,26,2.78,24392.38
Good,High,1.05,Unemployed,73,6.32,54868.51
Moderate,Moderate,0.0,Employed,73,6.28,48108.44
Poor,High,2.37,Unemployed,18,5.57,58309.34
Good,Low,1.74,Employed,46,9.99,62867.28
Moderate,Moderate,3.01,Unemployed,74,4.72,68493.82
Good,High,1.87,Employed,39,4.43,55054.89
Moderate,Low,1.4,Unemployed,33,6.37,34304.59
Good,Moderate,1.92,Employed,58,4.89,17760.3
Poor,Low,3.09,Unemployed,68,7.32,37629.5
Poor,Moderate,2.58,Unemployed,61,2.46,70002.33
Good,Low,0.0,Unemployed,68,2.5,77352.37
Moderate,Low,2.19,Unemployed,71,6.53,46431.49
Poor,High,2.24,Unemployed,58,2.67,28085.61
Poor,Low,1.98,Unemployed,24,6.22,40273.8
Poor,Moderate,1.39,Unemployed,31,5.74,67067.09
Good,Moderate,3.19,Unemployed,46,3.61,41134.8
Good,High,3.24,Unemployed,36,5.73,58836.86
Moderate,Moderate,0.0,Employed,36,2.53,52528.37
Moderate,Moderate,1.2,Employed,19,3.0,60650.05
Moderate,Moderate,1.86,Unemployed,58,4.53,77270.16
Good,Low,2.95,Employed,62,5.16,58846.72
Good,Low,2.03,Unemployed,32,4.39,52203.74
Moderate,Moderate,1.32,Unemployed,20,5.87,78925.6
Moderate,High,2.71,Employed,28,5.78,55243.28
Good,Low,1.79,Unemployed,70,8.06,38105.79
Moderate,High,1.88,Unemployed,63,4.81,60311.98
Poor,Moderate,1.97,Employed,47,7.39,56711.83
Good,Moderate,2.57,Employed,74,6.84,45381.46
Moderate,Low,1.69,Unemployed,57,9.59,42236.21
Good,Moderate,2.69,Employed,35,4.75,45526.11
Poor,Low,1.93,Employed,68,4.16,42021.66
Good,Moderate,0.93,Unemployed,65,7.52,46013.6
Good,Moderate,1.96,Employed,19,5.77,37358.05
Good,Low,0.98,Employed,49,7.56,55792.32
Good,Low,2.04,Unemployed,25,6.43,54668.02
Poor,Low,2.83,Employed,39,0.79,55178.03
Good,Moderate,0.93,Employed,23,5.75,49064.46
Good,Moderate,2.36,Unemployed,29,5.62,47335.05
Moderate,High,1.17,Unemployed,64,5.27,71630.09
Good,Low,2.2,Unemployed,74,4.74,51011.09
Moderate,Moderate,2.86,Employed,57,1.82,68956.5
Poor,Moderate,0.0,Unemployed,53,6.75,35053.76
Poor,Low,0.89,Unemployed,32,5.75,58837.67
Poor,High,1.63,Employed,45,7.2,38979.45
Poor,Low,2.32,Unemployed,69,1.92,41657.72
Moderate,High,1.83,Unemployed,74,6.01,43821.41
Good,Moderate,1.95,Unemployed,66,4.53,42881.02
Poor,High,4.04,Unemployed,62,5.29,42955.93
Good,Moderate,0.79,Employed,35,4.55,68259.13
Moderate,Low,3.14,Unemployed,19,6.09,50681.17
Moderate,Low,1.65,Unemployed,30,4.67,53375.83
Moderate,Low,2.55,Employed,62,2.9,43142.6
Poor,High,4.13,Unemployed,71,5.17,62854.09
Good,Moderate,2.69,Employed,32,4.57,55325.84
Good,Low,2.37,Employed,37,4.83,45366.07
Good,Low,3.6,Employed,46,0.0,26235.74
Moderate,Moderate,3.12,Unemployed,76,6.37,53244.45
Poor,Low,1.2,Employed,59,4.37,58635.19
Moderate,Moderate,2.29,Employed,46,2.3,35317.28
Moderate,Moderate,0.28,Employed,20,6.85,45569.08
Good,Moderate,1.46,Unemployed,36,6.27,58057.41
Moderate,Moderate,2.31,Unemployed,20,4.35,26436.08
Good,Moderate,1.4,Unemployed,71,2.7,40267.22
Poor,High,2.27,Unemployed,31,5.36,55653.63
Good,Low,1.99,Unemployed,57,5.25,66575.28
Poor,High,2.54,Unemployed,76,6.85,82786.7
Good,Low,1.58,Unemployed,72,4.11,79379.82
Moderate,High,1.06,Employed,79,7.39,52156.54
Moderate,Moderate,3.48,Employed,21,3.92,42736.6
Poor,Low,1.5,Employed,76,2.31,63846.83
Poor,Low,2.66,Employed,77,2.74,41846.11
Poor,High,3.44,Unemployed,69,4.88,38568.57
Good,High,2.16,Employed,28,4.87,45421.01
Good,Low,1.14,Employed,75,5.66,43539.9
Poor,High,1.82,Employed,48,4.82,56189.46
Moderate,High,3.02,Employed,60,6.95,40963.98
Good,High,2.21,Unemployed,49,4.48,51276.83
Good,Moderate,0.79,Unemployed,44,1.01,73924.3
Good,Moderate,2.6,Unemployed,47,4.76,51832.11
Poor,High,2.77,Employed,60,0.99,72751.13
Poor,High,1.64,Unemployed,19,5.54,68030.85
Poor,Moderate,2.61,Employed,79,7.11,58880.6
Poor,Moderate,2.25,Unemployed,66,3.03,44687.71
Poor,Low,1.8,Unemployed,26,7.84,65607.62
Moderate,Low,0.71,Unemployed,45,6.69,46250.38
Moderate,Moderate,3.08,Unemployed,48,7.41,49969.86
Poor,High,2.76,Unemployed,77,5.38,54952.98
Good,High,2.58,Employed,51,3.01,49919.49
Poor,High,3.54,Unemployed,78,6.56,39195.98
Moderate,High,2.95,Employed,73,3.75,27093.52
Moderate,Low,2.69,Employed,32,5.24,64386.99
Good,Moderate,0.0,Employed,65,4.66,58555.13
Moderate,High,3.2,Employed,42,7.25,24190.84
Poor,Low,2.08,Employed,53,6.46,38798.19
Good,High,2.31,Unemployed,25,4.84,52685.98
Poor,Moderate,2.32,Unemployed,26,1.1,56638.59
Poor,Low,2.77,Unemployed,75,3.73,27223.2
Good,Moderate,3.12,Unemployed,75,6.41,48661.42
Poor,Moderate,2.63,Employed,54,5.56,58094.82
Moderate,Low,2.48,Unemployed,65,1.99,44727.32
Poor,Low,2.23,Unemployed,62,1.39,53837.44
Good,Low,0.0,Employed,79,5.39,42686.72
Good,Low,1.71,Employed,56,2.89,63637.95
Good,Low,1.06,Unemployed,49,3.08,38010.71
Poor,Low,3.21,Unemployed,75,6.35,32868.83
Good,Low,2.62,Employed,69,7.4,50433.9
Good,High,1.54,Unemployed,34,3.5,28497.11
Poor,Moderate,1.64,Unemployed,52,4.91,18423.33
Moderate,Low,1.61,Unemployed,54,4.85,66256.03
Poor,High,1.59,Unemployed,36,4.67,35236.63
Good,High,0.56,Employed,61,5.08,29995.23
Good,High,0.34,Employed,46,6.51,37823.62
Poor,Moderate,2.03,Employed,76,3.65,37150.24
Moderate,Low,3.08,Unemployed,24,1.95,47868.33
Good,High,1.46,Unemployed,45,8.38,33597.7
Good,Moderate,2.3,Unemployed,26,7.18,57472.79
Good,Moderate,2.73,Unemployed,45,2.79,59693.51
Poor,Moderate,1.01,Unemployed,23,5.27,30875.13
Good,High,1.98,Employed,46,7.02,40728.55
Moderate,Low,1.33,Unemployed,75,6.5,42154.14
Good,High,3.61,Unemployed,34,5.92,47524.89
Good,High,3.56,Employed,33,4.66,66240.25
Moderate,Low,1.01,Unemployed,40,8.45,67104.7
Good,Low,2.39,Employed,48,5.44,87483.01
Poor,Low,3.07,Employed,20,3.97,15959.39
Poor,Moderate,2.85,Employed,38,6.74,36135.56
Poor,Low,2.08,Employed,43,5.19,77210.14
Moderate,High,3.31,Employed,53,5.7,22989.5
