Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score
Moderate,Moderate,1.48,Employed,49,4.51
Good,Low,2.04,Employed,69,4.06
Moderate,High,0.76,Employed,64,1.65
Poor,Low,2.63,Employed,50,3.69
Good,Low,2.19,Employed,74,2.53
Poor,Moderate,1.11,Employed,63,2.99
Poor,Moderate,1.12,Unemployed,22,5.24
Good,High,3.62,Unemployed,60,4.2
Moderate,Low,3.97,Unemployed,65,8.4
Poor,Low,1.79,Unemployed,51,7.16
Good,Low,2.07,Unemployed,57,3.78
Poor,High,2.4,Employed,28,3.17
Poor,High,2.15,Employed,78,7.77
Poor,Moderate,0.33,Employed,67,8.32
Poor,Moderate,2.43,Employed,20,0.61
Moderate,Moderate,0,Employed,79,5.19
Poor,Low,1.27,Unemployed,75,4.5
Poor,Low,2.51,Unemployed,50,6.3
Poor,Moderate,2.6,Unemployed,28,8.89
Moderate,Low,1.19,Unemployed,33,4.03
Poor,Moderate,1.54,Employed,35,0.88
Poor,High,1.41,Employed,47,6.16
Moderate,Moderate,1.9,Employed,65,7.78
Moderate,High,1.97,Unemployed,72,4.39
Moderate,Low,2.67,Employed,27,3.59
Poor,Moderate,1.48,Unemployed,35,4.13
Moderate,Low,2.37,Employed,55,6.7
Moderate,High,2.51,Employed,36,4.09
Poor,High,2.2,Unemployed,53,5.66
Moderate,High,1.74,Employed,76,5.06
Poor,Low,2.18,Employed,30,4.85
Good,Low,2.75,Unemployed,73,6.4
Moderate,Low,2.84,Employed,63,4.04
Good,Low,3.82,Unemployed,20,4.14
Poor,High,1.01,Employed,27,6.6
Moderate,High,1.56,Employed,55,3.03
Poor,Moderate,0.39,Employed,18,3.24
Good,Moderate,2.93,Employed,72,2.48
Poor,Low,1.67,Employed,73,6.7
Moderate,High,2.21,Employed,44,4.79
Moderate,High,1.4,Employed,63,2.37
Good,High,1.67,Employed,25,6.71
Poor,Moderate,3.22,Unemployed,68,3.89
Moderate,Moderate,2.69,Unemployed,63,3.26
Good,High,1.89,Employed,59,4.61
Moderate,High,2.77,Employed,34,7.96
Moderate,High,2.79,Unemployed,26,4.21
Poor,Moderate,1.61,Employed,78,6.15
Moderate,High,0.53,Employed,23,6.45
Poor,High,1.1,Unemployed,60,5.89
Moderate,Low,0.66,Employed,42,7.54
Good,Low,3.16,Employed,56,3.59
Moderate,Moderate,3.34,Unemployed,66,2.91
Poor,High,3.59,Employed,77,2.87
Poor,High,0,Employed,45,4.71
Good,Low,3.07,Unemployed,50,3.11
Moderate,Moderate,4.21,Employed,71,5.3
Moderate,Low,3.11,Unemployed,54,5.15
Good,Low,0,Employed,26,7.04
Moderate,Low,3.77,Employed,35,5.58
Moderate,Low,2.04,Unemployed,73,4.17
Poor,High,1.77,Unemployed,76,5.82
Moderate,High,2.45,Employed,38,2.94
Moderate,Low,0.95,Unemployed,19,4.92
Good,Moderate,2,Unemployed,78,5.64
Good,Moderate,3.62,Employed,75,5.26
Poor,Moderate,2.62,Employed,60,5.83
Moderate,Moderate,2.06,Employed,76,3.71
Moderate,Low,2.09,Unemployed,77,7.3
Moderate,High,0.82,Unemployed,55,8.64
Poor,Moderate,1.85,Unemployed,75,1.79
Poor,Low,0.37,Unemployed,57,2.57
Good,Moderate,3.02,Employed,53,5.09
Poor,Moderate,0,Unemployed,67,4.49
Moderate,Low,2.85,Employed,77,8.79
Moderate,High,2.98,Unemployed,60,5.44
Poor,High,3.32,Employed,54,7.79
Moderate,Low,2.09,Employed,32,0.9
Moderate,High,2.92,Employed,45,6.63
Poor,Low,1.84,Unemployed,35,3.57
Poor,Low,0.81,Employed,51,3.54
Moderate,Low,3.53,Employed,39,4.5
Moderate,High,1.9,Unemployed,28,2.15
Moderate,Low,0.59,Employed,75,5.89
Good,Moderate,1.53,Unemployed,74,5.38
Good,High,1.57,Unemployed,30,5.53
Good,High,2.46,Employed,21,6.77
Poor,High,4.35,Employed,39,8.03
Good,High,2.52,Unemployed,24,4.27
Poor,Moderate,2.21,Employed,78,5.95
Poor,High,4.46,Unemployed,60,5.59
Good,High,2.98,Unemployed,71,5.76
Good,Low,2.25,Unemployed,41,5.79
Good,High,1.52,Employed,21,8.18
Moderate,Moderate,2.32,Unemployed,45,4.08
Good,Moderate,1.93,Employed,32,1.95
Moderate,Moderate,2.09,Employed,18,3.6
Poor,Moderate,3.31,Employed,72,6.51
Moderate,High,1.46,Employed,20,5.05
Good,High,2.51,Unemployed,31,4.06
Poor,Moderate,2.95,Employed,55,2.85
Poor,Moderate,1.34,Unemployed,67,5.44
Poor,High,1.18,Unemployed,74,6.29
Moderate,Moderate,1.85,Employed,18,5.61
Good,Low,1.54,Unemployed,55,4.49
Poor,Moderate,3.15,Unemployed,55,5.29
Poor,Moderate,1,Employed,38,5.28
Poor,Low,2.07,Unemployed,65,5.38
Moderate,Low,4.55,Unemployed,46,2.63
Moderate,High,2.41,Unemployed,22,5.39
Good,High,2.58,Unemployed,66,4.12
Moderate,Low,3.16,Employed,27,7.08
Poor,Low,1.54,Unemployed,45,5.27
Good,High,0.92,Unemployed,38,6.67
Poor,Moderate,2.18,Unemployed,67,4.4
Poor,Low,2.27,Unemployed,24,4.47
Moderate,High,0.38,Employed,20,7.99
Good,Moderate,2.38,Unemployed,62,5.87
Moderate,Low,3.07,Employed,64,3.57
Moderate,Moderate,1.09,Unemployed,37,6.79
Good,High,2.44,Employed,36,3.93
Poor,Low,2.89,Employed,52,5.45
Poor,Moderate,2.59,Employed,21,8.67
Good,Low,2.68,Employed,22,2.14
Poor,Moderate,1.76,Employed,18,4.65
Good,High,0.87,Unemployed,21,5.82
Good,High,1.55,Unemployed,29,6.53
Moderate,Low,1.41,Unemployed,77,2.52
Good,Moderate,1.92,Employed,44,1.93
Moderate,Low,3.09,Unemployed,73,7.18
Poor,Low,0.69,Employed,59,3.56
Poor,Moderate,2.14,Employed,40,3.48
Poor,Moderate,0.94,Unemployed,42,8.1
Poor,Moderate,1.26,Unemployed,38,5.14
Moderate,High,2.56,Employed,78,5.15
Poor,Low,0.81,Employed,75,4.64
Good,Low,2.73,Unemployed,69,2.55
Good,High,0.65,Unemployed,41,6.35
Good,Moderate,2.67,Unemployed,42,5.82
Moderate,High,0.45,Unemployed,62,5.34
Poor,High,1.38,Employed,72,4.77
Poor,High,3.9,Unemployed,63,4.42
Poor,Low,3.71,Unemployed,49,6.82
Moderate,High,1.59,Unemployed,72,4.72
Good,Low,2.39,Employed,49,4.87
Good,Low,3.2,Employed,22,6.06
Poor,Low,2.68,Employed,53,5.42
Good,Moderate,1.73,Employed,63,8.28
Good,Low,1.25,Unemployed,59,1.48
Moderate,Low,2.87,Employed,66,5.6
Moderate,Moderate,3.13,Unemployed,59,3.59
Moderate,Low,3.72,Unemployed,75,3.12
Moderate,High,0.31,Unemployed,56,4.09
Poor,High,0.75,Unemployed,33,5.11
Moderate,Low,3.16,Employed,50,5.2
Good,Moderate,0.45,Employed,66,1.97
Poor,High,3.24,Employed,38,3.92
Good,Moderate,1.79,Unemployed,78,5.56
Good,Moderate,1.48,Unemployed,26,3.25
Good,High,2.21,Unemployed,23,2.77
Moderate,Moderate,0.65,Unemployed,68,0.49
Moderate,High,2.82,Unemployed,62,3.67
Poor,Moderate,3.69,Employed,52,2.7
Poor,High,2.87,Unemployed,56,3.03
Moderate,Low,1.75,Employed,39,4.46
Good,High,0.46,Unemployed,58,3.8
Poor,High,0.5,Unemployed,71,2.67
Moderate,High,0.67,Employed,22,0.77
Moderate,High,1.99,Employed,59,5.6
Moderate,Moderate,2.11,Unemployed,40,6.51
Good,Low,2.87,Unemployed,34,4.21
Moderate,High,0.2,Unemployed,29,4.47
Moderate,Moderate,3.31,Unemployed,40,5.01
Moderate,Low,2.69,Employed,33,8.16
Moderate,Low,1.67,Unemployed,20,1.86
Poor,Low,0.81,Employed,47,4.17
Poor,Low,3.25,Unemployed,74,1.56
Moderate,High,1.7,Employed,39,5.72
Good,High,1.98,Employed,26,4.71
Poor,Moderate,2.38,Unemployed,46,5.41
Moderate,Moderate,1.09,Employed,64,5.31
Poor,Moderate,1.72,Unemployed,54,6.98
Poor,Low,2.87,Employed,40,6.08
Good,Low,2.76,Unemployed,30,6.66
Moderate,High,2.77,Employed,49,2.87
Moderate,Low,0.84,Unemployed,63,7.39
Good,Low,1.76,Unemployed,69,3.56
Good,Low,1.6,Employed,64,3.67
Moderate,Moderate,2.43,Employed,65,5.54
Moderate,Moderate,2.34,Employed,40,5.6
Good,High,2.16,Employed,62,2.86
Poor,Low,4.47,Unemployed,34,4.65
Poor,Low,1.71,Employed,72,7.98
Good,High,1.59,Unemployed,57,2.06
Poor,Low,0.84,Employed,38,7.97
Good,Low,0.46,Unemployed,19,4.52
Poor,Moderate,0.78,Unemployed,54,0.32
Poor,High,1.28,Unemployed,23,2.27
Moderate,High,3.31,Unemployed,61,3.07
Moderate,High,2.04,Employed,35,3.75
Poor,High,2.19,Employed,47,4.79
Poor,Moderate,1.9,Unemployed,39,0
Moderate,Moderate,2.37,Employed,71,5.37
Moderate,Low,3.4,Employed,50,2.89
Moderate,Low,0.01,Unemployed,47,7.78
Good,Low,3.22,Employed,34,4.46
Poor,Low,0,Employed,79,6.89
Moderate,Moderate,2.03,Employed,60,7.22
Poor,High,4.19,Unemployed,49,7.17
Good,Moderate,2.68,Employed,59,3.87
Good,Low,2.37,Unemployed,68,3.84
Moderate,Moderate,4,Employed,31,4.55
Good,High,1.3,Employed,75,6.27
Poor,High,2.43,Employed,27,3.98
Moderate,Moderate,2.58,Unemployed,64,4.76
Poor,Moderate,1.48,Unemployed,77,5.55
Poor,Moderate,1.57,Employed,68,3.19
Good,Low,1.46,Unemployed,53,3.06
Good,Moderate,2.09,Employed,51,4.68
Good,Moderate,2.55,Unemployed,26,4.95
Good,Moderate,2.12,Unemployed,59,5.87
Good,High,2.71,Employed,45,6.34
Moderate,High,0.03,Employed,28,2.8
Poor,Low,1.78,Employed,31,3.38
Poor,Low,0.98,Employed,56,3.06
Poor,High,2.3,Unemployed,72,7.82
Poor,High,2.29,Unemployed,64,4.76
Good,High,1.88,Unemployed,71,5.03
Poor,Moderate,2.51,Employed,36,5.12
Moderate,Moderate,3,Employed,71,3.57
Moderate,High,1.94,Unemployed,32,8.13
Poor,Moderate,0.95,Employed,79,5.82
Poor,Moderate,0.42,Unemployed,45,5.08
Moderate,Low,2.04,Unemployed,41,2.79
Moderate,High,2.24,Unemployed,25,2.68
Good,High,1.03,Unemployed,60,4.38
Moderate,Moderate,2.73,Unemployed,78,3.6
Good,High,1.54,Employed,26,2.87
Good,Low,0.34,Employed,64,4.26
Good,Low,3.26,Employed,50,4.57
Good,Low,3.14,Unemployed,79,5.28
Good,High,0,Unemployed,50,3.99
Poor,High,1.44,Unemployed,36,2.98
Moderate,High,1.4,Unemployed,20,3.05
Good,High,3.64,Employed,27,7.43
Moderate,High,1.9,Employed,57,2.5
Moderate,Low,0.5,Unemployed,64,5.73
Good,Moderate,2.88,Unemployed,59,6.04
Poor,Low,0.77,Unemployed,18,4.76
Good,High,1.74,Employed,46,8.54
Poor,Low,1.23,Employed,67,6
Moderate,High,1.44,Employed,51,8.69
Poor,High,2.94,Unemployed,68,3.7
Poor,Low,3.52,Unemployed,30,3.73
Poor,High,0.73,Employed,71,6.06
Moderate,Moderate,2.63,Unemployed,18,4.48
Moderate,High,1.27,Employed,51,8.37
Poor,Moderate,1.3,Unemployed,46,5.68
Poor,Moderate,2.49,Employed,65,2.91
Good,High,0.97,Unemployed,64,1.53
Poor,Low,2.47,Employed,30,4.84
Good,Moderate,2.73,Employed,65,4.82
Poor,Low,1.57,Employed,66,5.63
Good,Moderate,3.33,Employed,70,7.42
Moderate,High,0.73,Employed,78,7.16
Poor,High,3.35,Employed,46,3.84
Poor,Moderate,0.06,Unemployed,56,2.41
Poor,High,4.7,Unemployed,41,2.53
Poor,Moderate,1.59,Unemployed,43,3.53
Good,High,0.84,Employed,34,4.27
Poor,Low,1.77,Employed,24,5.61
Moderate,High,0.95,Unemployed,30,3.4
Moderate,Low,2.39,Employed,22,5.56
Poor,High,3.37,Employed,43,5.72
Moderate,Low,1.01,Employed,66,5.29
Poor,High,2.58,Employed,20,2.74
Poor,Low,0.47,Employed,24,5.94
Moderate,Moderate,3.03,Unemployed,75,9.16
Poor,Moderate,2.42,Unemployed,66,5.49
Moderate,Low,3.08,Unemployed,56,0
Good,High,1.88,Unemployed,70,7.48
Poor,Low,1.56,Unemployed,18,3.59
Good,High,2.82,Employed,66,9.53
Moderate,Moderate,0.69,Employed,79,5.23
Good,High,0.26,Employed,34,1.63
Good,Moderate,2,Employed,60,0.87
Moderate,High,1.61,Unemployed,42,8.08
Good,High,2.55,Unemployed,76,7.21
Good,High,3.09,Unemployed,78,9.45
Moderate,Low,2.53,Employed,20,5.02
Good,Low,3.01,Unemployed,32,4.89
Moderate,Moderate,2.32,Employed,46,4.23
Good,Moderate,2.49,Unemployed,70,3.68
Moderate,Low,1.88,Unemployed,60,4.22
Moderate,Moderate,2.47,Employed,49,5.43
Good,Low,2.17,Employed,43,3.31
Good,High,2.33,Unemployed,77,1.66
Good,Moderate,1.83,Unemployed,33,5.32
Poor,Moderate,2.81,Employed,42,3.27
Poor,Low,1.29,Unemployed,71,0
Poor,Moderate,1.98,Unemployed,45,6.11
Moderate,Moderate,3.31,Employed,26,2.78
Good,High,1.05,Unemployed,73,6.32
Moderate,Moderate,0,Employed,73,6.28
Poor,High,2.37,Unemployed,18,5.57
Good,Low,1.74,Employed,46,9.99
Moderate,Moderate,3.01,Unemployed,74,4.72
Good,High,1.87,Employed,39,4.43
Moderate,Low,1.4,Unemployed,33,6.37
Good,Moderate,1.92,Employed,58,4.89
Poor,Low,3.09,Unemployed,68,7.32
Poor,Moderate,2.58,Unemployed,61,2.46
Good,Low,0,Unemployed,68,2.5
Moderate,Low,2.19,Unemployed,71,6.53
Poor,High,2.24,Unemployed,58,2.67
Poor,Low,1.98,Unemployed,24,6.22
Poor,Moderate,1.39,Unemployed,31,5.74
Good,Moderate,3.19,Unemployed,46,3.61
Good,High,3.24,Unemployed,36,5.73
Moderate,Moderate,0,Employed,36,2.53
Moderate,Moderate,1.2,Employed,19,3
Moderate,Moderate,1.86,Unemployed,58,4.53
Good,Low,2.95,Employed,62,5.16
Good,Low,2.03,Unemployed,32,4.39
Moderate,Moderate,1.32,Unemployed,20,5.87
Moderate,High,2.71,Employed,28,5.78
Good,Low,1.79,Unemployed,70,8.06
Moderate,High,1.88,Unemployed,63,4.81
Poor,Moderate,1.97,Employed,47,7.39
Good,Moderate,2.57,Employed,74,6.84
Moderate,Low,1.69,Unemployed,57,9.59
Good,Moderate,2.69,Employed,35,4.75
Poor,Low,1.93,Employed,68,4.16
Good,Moderate,0.93,Unemployed,65,7.52
Good,Moderate,1.96,Employed,19,5.77
Good,Low,0.98,Employed,49,7.56
Good,Low,2.04,Unemployed,25,6.43
Poor,Low,2.83,Employed,39,0.79
Good,Moderate,0.93,Employed,23,5.75
Good,Moderate,2.36,Unemployed,29,5.62
Moderate,High,1.17,Unemployed,64,5.27
Good,Low,2.2,Unemployed,74,4.74
Moderate,Moderate,2.86,Employed,57,1.82
Poor,Moderate,0,Unemployed,53,6.75
Poor,Low,0.89,Unemployed,32,5.75
Poor,High,1.63,Employed,45,7.2
Poor,Low,2.32,Unemployed,69,1.92
Moderate,High,1.83,Unemployed,74,6.01
Good,Moderate,1.95,Unemployed,66,4.53
Poor,High,4.04,Unemployed,62,5.29
Good,Moderate,0.79,Employed,35,4.55
Moderate,Low,3.14,Unemployed,19,6.09
Moderate,Low,1.65,Unemployed,30,4.67
Moderate,Low,2.55,Employed,62,2.9
Poor,High,4.13,Unemployed,71,5.17
Good,Moderate,2.69,Employed,32,4.57
Good,Low,2.37,Employed,37,4.83
Good,Low,3.6,Employed,46,0
Moderate,Moderate,3.12,Unemployed,76,6.37
Poor,Low,1.2,Employed,59,4.37
Moderate,Moderate,2.29,Employed,46,2.3
Moderate,Moderate,0.28,Employed,20,6.85
Good,Moderate,1.46,Unemployed,36,6.27
Moderate,Moderate,2.31,Unemployed,20,4.35
Good,Moderate,1.4,Unemployed,71,2.7
Poor,High,2.27,Unemployed,31,5.36
Good,Low,1.99,Unemployed,57,5.25
Poor,High,2.54,Unemployed,76,6.85
Good,Low,1.58,Unemployed,72,4.11
Moderate,High,1.06,Employed,79,7.39
Moderate,Moderate,3.48,Employed,21,3.92
Poor,Low,1.5,Employed,76,2.31
Poor,Low,2.66,Employed,77,2.74
Poor,High,3.44,Unemployed,69,4.88
Good,High,2.16,Employed,28,4.87
Good,Low,1.14,Employed,75,5.66
Poor,High,1.82,Employed,48,4.82
Moderate,High,3.02,Employed,60,6.95
Good,High,2.21,Unemployed,49,4.48
Good,Moderate,0.79,Unemployed,44,1.01
Good,Moderate,2.6,Unemployed,47,4.76
Poor,High,2.77,Employed,60,0.99
Poor,High,1.64,Unemployed,19,5.54
Poor,Moderate,2.61,Employed,79,7.11
Poor,Moderate,2.25,Unemployed,66,3.03
Poor,Low,1.8,Unemployed,26,7.84
Moderate,Low,0.71,Unemployed,45,6.69
Moderate,Moderate,3.08,Unemployed,48,7.41
Poor,High,2.76,Unemployed,77,5.38
Good,High,2.58,Employed,51,3.01
Poor,High,3.54,Unemployed,78,6.56
Moderate,High,2.95,Employed,73,3.75
Moderate,Low,2.69,Employed,32,5.24
Good,Moderate,0,Employed,65,4.66
Moderate,High,3.2,Employed,42,7.25
Poor,Low,2.08,Employed,53,6.46
Good,High,2.31,Unemployed,25,4.84
Poor,Moderate,2.32,Unemployed,26,1.1
Poor,Low,2.77,Unemployed,75,3.73
Good,Moderate,3.12,Unemployed,75,6.41
Poor,Moderate,2.63,Employed,54,5.56
Moderate,Low,2.48,Unemployed,65,1.99
Poor,Low,2.23,Unemployed,62,1.39
Good,Low,0,Employed,79,5.39
Good,Low,1.71,Employed,56,2.89
Good,Low,1.06,Unemployed,49,3.08
Poor,Low,3.21,Unemployed,75,6.35
Good,Low,2.62,Employed,69,7.4
Good,High,1.54,Unemployed,34,3.5
Poor,Moderate,1.64,Unemployed,52,4.91
Moderate,Low,1.61,Unemployed,54,4.85
Poor,High,1.59,Unemployed,36,4.67
Good,High,0.56,Employed,61,5.08
Good,High,0.34,Employed,46,6.51
Poor,Moderate,2.03,Employed,76,3.65
Moderate,Low,3.08,Unemployed,24,1.95
Good,High,1.46,Unemployed,45,8.38
Good,Moderate,2.3,Unemployed,26,7.18
Good,Moderate,2.73,Unemployed,45,2.79
Poor,Moderate,1.01,Unemployed,23,5.27
Good,High,1.98,Employed,46,7.02
Moderate,Low,1.33,Unemployed,75,6.5
Good,High,3.61,Unemployed,34,5.92
Good,High,3.56,Employed,33,4.66
Moderate,Low,1.01,Unemployed,40,8.45
Good,Low,2.39,Employed,48,5.44
Poor,Low,3.07,Employed,20,3.97
Poor,Moderate,2.85,Employed,38,6.74
Poor,Low,2.08,Employed,43,5.19
Moderate,High,3.31,Employed,53,5.7
Good,Low,1.1,Unemployed,59,5.41
Poor,High,1.7,Employed,54,5.99
Moderate,Moderate,1.12,Employed,70,3.04
Good,High,2.78,Unemployed,39,2.1
Moderate,High,1.42,Unemployed,79,7.87
Poor,Low,1.83,Employed,59,5.5
Poor,Low,2.62,Unemployed,29,6.54
Poor,High,2.7,Unemployed,59,1.48
Moderate,Low,1.09,Employed,78,7.13
Moderate,Moderate,3.06,Employed,30,3.96
Poor,Moderate,2.46,Unemployed,28,3.39
Moderate,Low,0.92,Employed,71,4.87
Poor,Moderate,0.67,Employed,33,3.04
Poor,Low,1.98,Unemployed,25,5
Good,High,2.85,Employed,57,4.73
Moderate,High,2.88,Employed,76,7.12
Poor,Moderate,2.36,Employed,74,8.03
Poor,Low,2.05,Employed,57,7.96
Moderate,Low,2.51,Employed,62,0.47
Good,Moderate,1.14,Unemployed,76,3.13
Good,High,3.69,Unemployed,19,0.45
Poor,Moderate,3.67,Employed,47,2.61
Moderate,High,2.43,Unemployed,47,3.7
Good,Low,2.2,Employed,29,5.82
Moderate,High,1.59,Employed,27,3.96
Moderate,Moderate,2.53,Employed,61,4.02
Poor,Low,1.31,Employed,28,5.36
Good,Moderate,0,Employed,32,1.58
Poor,Moderate,0,Unemployed,33,3.32
Good,High,1.2,Unemployed,34,3.99
Good,Moderate,2.16,Employed,43,4.6
Good,High,2.33,Unemployed,19,5.15
Good,Low,1.51,Employed,67,8
Good,High,2.14,Unemployed,29,6.82
Moderate,Low,1.73,Employed,68,3.46
Poor,High,1,Unemployed,43,4.48
Moderate,Moderate,1.95,Employed,40,4.34
Good,High,2.81,Employed,35,3.97
Poor,High,1.05,Unemployed,79,5.55
Good,Low,1.05,Unemployed,49,1.28
Poor,Moderate,0.93,Employed,66,6.76
Moderate,High,0.06,Unemployed,79,8.39
Poor,Moderate,1.52,Employed,55,4.46
Poor,High,2.71,Unemployed,74,4.42
Poor,High,2.17,Unemployed,64,5.31
Poor,Moderate,1.83,Employed,20,7.04
Poor,High,2.13,Unemployed,55,4.35
Good,Moderate,1.51,Unemployed,20,6.87
Poor,High,0.05,Employed,47,5.98
Poor,Low,2.78,Unemployed,78,9.72
Moderate,Moderate,3.07,Employed,18,4.34
Poor,High,1.27,Employed,47,1.05
Moderate,High,1.85,Employed,62,2.13
Good,Low,1.76,Employed,49,5.02
Poor,Moderate,2.35,Employed,45,7.06
Moderate,High,3.69,Unemployed,38,3.69
Moderate,Low,3.16,Employed,75,4.54
Good,High,1.62,Employed,63,6.37
Poor,Moderate,2.54,Unemployed,30,3.07
Poor,High,3.25,Unemployed,44,3.78
Moderate,High,2.41,Unemployed,53,2.66
Poor,High,2,Employed,24,7.36
Moderate,High,2.45,Employed,39,8.08
Poor,Low,1.3,Employed,27,1.84
Moderate,Low,1.44,Unemployed,56,4.72
Poor,Moderate,0.94,Employed,70,7.81
Good,Low,2.31,Unemployed,32,5.8
Poor,Low,1.87,Employed,32,4.02
Poor,Moderate,1.18,Unemployed,21,1.91
Good,Low,1.84,Employed,49,7.31
Poor,Low,2.47,Employed,40,5.72
Good,Moderate,3.91,Employed,72,2.05
Poor,Moderate,3.01,Unemployed,23,7.38
Moderate,Moderate,0,Unemployed,41,1.8
Moderate,High,2.24,Employed,37,4.56
Poor,High,3.43,Employed,75,4.47
Poor,Moderate,0.66,Employed,54,8.24
Poor,Moderate,2.55,Unemployed,37,4.48
Moderate,Moderate,1.76,Employed,29,4.47
Poor,High,3.15,Employed,50,2.27
Moderate,High,2.4,Employed,45,3.72
Good,Low,1.12,Employed,25,3.37
Moderate,Low,1.8,Unemployed,18,3.47
Moderate,Moderate,1.86,Unemployed,54,5.01
Good,High,1.88,Employed,39,0.13
Moderate,High,3.12,Employed,23,1.98
Poor,High,1.16,Unemployed,78,4.78
Poor,Moderate,3,Unemployed,38,5.24
Moderate,Low,1.7,Employed,49,4.53
Poor,Moderate,2.22,Unemployed,52,4.92
Moderate,Low,2.07,Unemployed,32,4.18
Poor,Low,1.98,Employed,22,4.96
Poor,Moderate,1.99,Unemployed,77,5.87
Moderate,Low,3.46,Unemployed,73,5.85
Poor,Low,2.84,Employed,63,3.62
Moderate,High,1.64,Employed,67,6.83
Poor,Low,3.58,Unemployed,65,5.31
Poor,Moderate,2.27,Employed,23,7.46
Good,Moderate,2.36,Unemployed,42,7.87
Good,Low,1.16,Employed,73,2.11
Moderate,High,1.5,Unemployed,63,3.28
Good,High,1.31,Employed,76,6.63
Moderate,Low,2.09,Unemployed,73,1.67
Good,Low,2.64,Unemployed,57,7.84
Poor,Moderate,2.37,Unemployed,46,4.31
Moderate,Low,3.59,Employed,24,6.15
Moderate,High,1.11,Employed,57,4.77
Poor,Low,2.11,Unemployed,30,2.22
Moderate,Moderate,0.72,Unemployed,55,7.11
Moderate,Moderate,1.08,Employed,35,10
Good,Moderate,3.26,Employed,19,3.97
Moderate,Moderate,1.54,Employed,25,4.36
Poor,Moderate,1.2,Employed,28,0
Good,Low,0,Employed,50,7.7
Good,Low,1.19,Employed,71,6.82
Poor,Low,1.79,Unemployed,78,1.53
Poor,Low,0.64,Employed,55,0.87
Good,Moderate,1.74,Unemployed,65,1.1
